Player,Team,Opposition,Runs,NotOut,Mins,BF,4s,6s,SR,Inns,Venue,Start Date
MK Pandey,Kolkata Knight Riders,Sunrisers Hyderabad,2,0,14,7,0,0,28.57,2,Kolkata,24-May-14
YK Pathan,Kolkata Knight Riders,Sunrisers Hyderabad,72,0,35,22,5,7,327.27,2,Kolkata,24-May-14
RN ten Doeschate,Kolkata Knight Riders,Sunrisers Hyderabad,0,0,2,1,0,0,0,2,Kolkata,24-May-14
Shakib Al Hasan,Kolkata Knight Riders,Sunrisers Hyderabad,1,0,11,5,0,0,20,2,Kolkata,24-May-14
SA Yadav,Kolkata Knight Riders,Sunrisers Hyderabad,12,1,13,5,1,1,240,2,Kolkata,24-May-14
R Vinay Kumar,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,3,0,0,0,-,2,Kolkata,24-May-14
UT Yadav,Kolkata Knight Riders,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Kolkata,24-May-14
SP Narine,Kolkata Knight Riders,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Kolkata,24-May-14
M Morkel,Kolkata Knight Riders,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Kolkata,24-May-14
RR Rossouw,Royal Challengers Bangalore,Chennai Super Kings,1,0,3,4,0,0,25,1,Bengaluru,24-May-14
YV Takawale,Royal Challengers Bangalore,Chennai Super Kings,19,0,18,17,4,0,111.76,1,Bengaluru,24-May-14
VH Zol,Royal Challengers Bangalore,Chennai Super Kings,13,0,20,12,0,1,108.33,1,Bengaluru,24-May-14
V Kohli,Royal Challengers Bangalore,Chennai Super Kings,73,0,62,49,2,5,148.97,1,Bengaluru,24-May-14
Yuvraj Singh,Royal Challengers Bangalore,Chennai Super Kings,25,0,29,24,2,0,104.16,1,Bengaluru,24-May-14
AB de Villiers,Royal Challengers Bangalore,Chennai Super Kings,10,0,16,6,2,0,166.66,1,Bengaluru,24-May-14
S Rana,Royal Challengers Bangalore,Chennai Super Kings,5,1,13,6,0,0,83.33,1,Bengaluru,24-May-14
MA Starc,Royal Challengers Bangalore,Chennai Super Kings,2,1,3,2,0,0,100,1,Bengaluru,24-May-14
R Rampaul,Royal Challengers Bangalore,Chennai Super Kings,DNB,0,-,-,-,-,-,1,Bengaluru,24-May-14
YS Chahal,Royal Challengers Bangalore,Chennai Super Kings,DNB,0,-,-,-,-,-,1,Bengaluru,24-May-14
SB Jakati,Royal Challengers Bangalore,Chennai Super Kings,DNB,0,-,-,-,-,-,1,Bengaluru,24-May-14
DR Smith,Chennai Super Kings,Royal Challengers Bangalore,34,0,19,17,4,1,200,2,Bengaluru,24-May-14
F du Plessis,Chennai Super Kings,Royal Challengers Bangalore,54,1,75,43,3,3,125.58,2,Bengaluru,24-May-14
SK Raina,Chennai Super Kings,Royal Challengers Bangalore,18,0,22,18,2,0,100,2,Bengaluru,24-May-14
MS Dhoni,Chennai Super Kings,Royal Challengers Bangalore,49,1,32,28,4,3,175,2,Bengaluru,24-May-14
M Manhas,Chennai Super Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,24-May-14
RA Jadeja,Chennai Super Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,24-May-14
MM Sharma,Chennai Super Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,24-May-14
A Nehra,Chennai Super Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,24-May-14
R Ashwin,Chennai Super Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,24-May-14
S Badree,Chennai Super Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,24-May-14
DJ Hussey,Chennai Super Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,24-May-14
V Sehwag,Kings XI Punjab,Rajasthan Royals,18,0,11,8,3,1,225,1,Mohali,23-May-14
M Vohra,Kings XI Punjab,Rajasthan Royals,25,0,32,20,3,1,125,1,Mohali,23-May-14
SE Marsh,Kings XI Punjab,Rajasthan Royals,40,0,47,35,5,1,114.28,1,Mohali,23-May-14
WP Saha,Kings XI Punjab,Rajasthan Royals,27,0,32,20,4,0,135,1,Mohali,23-May-14
DA Miller,Kings XI Punjab,Rajasthan Royals,29,1,34,20,0,2,145,1,Mohali,23-May-14
GJ Bailey,Kings XI Punjab,Rajasthan Royals,26,1,28,18,1,1,144.44,1,Mohali,23-May-14
Karanveer Singh,Kings XI Punjab,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Mohali,23-May-14
L Balaji,Kings XI Punjab,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Mohali,23-May-14
BE Hendricks,Kings XI Punjab,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Mohali,23-May-14
AR Patel,Kings XI Punjab,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Mohali,23-May-14
R Dhawan,Kings XI Punjab,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Mohali,23-May-14
AM Rahane,Rajasthan Royals,Kings XI Punjab,23,0,40,26,2,0,88.46,2,Mohali,23-May-14
KK Nair,Rajasthan Royals,Kings XI Punjab,11,0,12,6,2,0,183.33,2,Mohali,23-May-14
SV Samson,Rajasthan Royals,Kings XI Punjab,30,0,50,29,2,1,103.44,2,Mohali,23-May-14
SR Watson,Rajasthan Royals,Kings XI Punjab,0,0,1,1,0,0,0,2,Mohali,23-May-14
STR Binny,Rajasthan Royals,Kings XI Punjab,7,0,11,10,0,0,70,2,Mohali,23-May-14
R Tewatia,Rajasthan Royals,Kings XI Punjab,16,0,21,13,0,1,123.07,2,Mohali,23-May-14
BJ Hodge,Rajasthan Royals,Kings XI Punjab,31,0,22,18,2,2,172.22,2,Mohali,23-May-14
JP Faulkner,Rajasthan Royals,Kings XI Punjab,35,1,26,13,1,4,269.23,2,Mohali,23-May-14
KK Cooper,Rajasthan Royals,Kings XI Punjab,2,0,1,2,0,0,100,2,Mohali,23-May-14
VS Malik,Rajasthan Royals,Kings XI Punjab,1,1,14,2,0,0,50,2,Mohali,23-May-14
PV Tambe,Rajasthan Royals,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,23-May-14
LMP Simmons,Mumbai Indians,Delhi Daredevils,35,0,39,25,5,0,140,1,Wankhede,23-May-14
MEK Hussey,Mumbai Indians,Delhi Daredevils,56,0,55,33,7,2,169.69,1,Wankhede,23-May-14
RG Sharma,Mumbai Indians,Delhi Daredevils,30,0,25,21,4,0,142.85,1,Wankhede,23-May-14
KA Pollard,Mumbai Indians,Delhi Daredevils,11,0,12,8,0,1,137.5,1,Wankhede,23-May-14
AT Rayudu,Mumbai Indians,Delhi Daredevils,2,0,7,3,0,0,66.66,1,Wankhede,23-May-14
AP Tare,Mumbai Indians,Delhi Daredevils,14,0,10,8,3,0,175,1,Wankhede,23-May-14
Harbhajan Singh,Mumbai Indians,Delhi Daredevils,2,0,9,3,0,0,66.66,1,Wankhede,23-May-14
S Gopal,Mumbai Indians,Delhi Daredevils,11,0,17,10,1,0,110,1,Wankhede,23-May-14
M de Lange,Mumbai Indians,Delhi Daredevils,1,0,4,2,0,0,50,1,Wankhede,23-May-14
PP Ojha,Mumbai Indians,Delhi Daredevils,2,0,3,2,0,0,100,1,Wankhede,23-May-14
JJ Bumrah,Mumbai Indians,Delhi Daredevils,0,1,2,2,0,0,0,1,Wankhede,23-May-14
M Vijay,Delhi Daredevils,Mumbai Indians,8,0,19,12,0,0,66.66,2,Wankhede,23-May-14
KP Pietersen,Delhi Daredevils,Mumbai Indians,44,0,32,31,6,1,141.93,2,Wankhede,23-May-14
KD Karthik,Delhi Daredevils,Mumbai Indians,7,0,18,13,1,0,53.84,2,Wankhede,23-May-14
MK Tiwary,Delhi Daredevils,Mumbai Indians,41,0,45,31,5,1,132.25,2,Wankhede,23-May-14
JP Duminy,Delhi Daredevils,Mumbai Indians,45,1,46,29,0,4,155.17,2,Wankhede,23-May-14
KM Jadhav,Delhi Daredevils,Mumbai Indians,7,1,6,5,1,0,140,2,Wankhede,23-May-14
Imran Tahir,Delhi Daredevils,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,23-May-14
WD Parnell,Delhi Daredevils,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,23-May-14
JD Unadkat,Delhi Daredevils,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,23-May-14
S Kaul,Delhi Daredevils,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,23-May-14
S Nadeem,Delhi Daredevils,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,23-May-14
DR Smith,Chennai Super Kings,Sunrisers Hyderabad,47,0,27,28,4,4,167.85,1,Ranchi,22-May-14
F du Plessis,Chennai Super Kings,Sunrisers Hyderabad,19,0,14,11,4,0,172.72,1,Ranchi,22-May-14
SK Raina,Chennai Super Kings,Sunrisers Hyderabad,4,0,21,7,0,0,57.14,1,Ranchi,22-May-14
DJ Hussey,Chennai Super Kings,Sunrisers Hyderabad,50,1,62,33,5,2,151.51,1,Ranchi,22-May-14
MS Dhoni,Chennai Super Kings,Sunrisers Hyderabad,57,1,53,41,2,4,139.02,1,Ranchi,22-May-14
P Negi,Chennai Super Kings,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Ranchi,22-May-14
RA Jadeja,Chennai Super Kings,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Ranchi,22-May-14
M Manhas,Chennai Super Kings,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Ranchi,22-May-14
R Ashwin,Chennai Super Kings,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Ranchi,22-May-14
JW Hastings,Chennai Super Kings,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Ranchi,22-May-14
MM Sharma,Chennai Super Kings,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Ranchi,22-May-14
DA Warner,Sunrisers Hyderabad,Chennai Super Kings,90,0,48,45,12,3,200,2,Ranchi,22-May-14
S Dhawan,Sunrisers Hyderabad,Chennai Super Kings,64,1,86,49,4,2,130.61,2,Ranchi,22-May-14
NV Ojha,Sunrisers Hyderabad,Chennai Super Kings,19,0,24,18,0,1,105.55,2,Ranchi,22-May-14
AJ Finch,Sunrisers Hyderabad,Chennai Super Kings,7,0,3,3,0,1,233.33,2,Ranchi,22-May-14
DJG Sammy,Sunrisers Hyderabad,Chennai Super Kings,0,0,4,3,0,0,0,2,Ranchi,22-May-14
Y Venugopal Rao,Sunrisers Hyderabad,Chennai Super Kings,4,1,3,1,1,0,400,2,Ranchi,22-May-14
DW Steyn,Sunrisers Hyderabad,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Ranchi,22-May-14
Parvez Rasool,Sunrisers Hyderabad,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Ranchi,22-May-14
IK Pathan,Sunrisers Hyderabad,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Ranchi,22-May-14
KV Sharma,Sunrisers Hyderabad,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Ranchi,22-May-14
B Kumar,Sunrisers Hyderabad,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Ranchi,22-May-14
RV Uthappa,Kolkata Knight Riders,Royal Challengers Bangalore,83,1,100,51,10,1,162.74,1,Kolkata,22-May-14
G Gambhir,Kolkata Knight Riders,Royal Challengers Bangalore,4,0,4,4,1,0,100,1,Kolkata,22-May-14
MK Pandey,Kolkata Knight Riders,Royal Challengers Bangalore,13,0,15,12,3,0,108.33,1,Kolkata,22-May-14
YK Pathan,Kolkata Knight Riders,Royal Challengers Bangalore,22,0,17,13,1,2,169.23,1,Kolkata,22-May-14
Shakib Al Hasan,Kolkata Knight Riders,Royal Challengers Bangalore,60,0,53,38,5,3,157.89,1,Kolkata,22-May-14
RN ten Doeschate,Kolkata Knight Riders,Royal Challengers Bangalore,6,1,7,3,0,1,200,1,Kolkata,22-May-14
M Morkel,Kolkata Knight Riders,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Kolkata,22-May-14
SP Narine,Kolkata Knight Riders,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Kolkata,22-May-14
UT Yadav,Kolkata Knight Riders,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Kolkata,22-May-14
SA Yadav,Kolkata Knight Riders,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Kolkata,22-May-14
R Vinay Kumar,Kolkata Knight Riders,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Kolkata,22-May-14
CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,6,0,9,9,1,0,66.66,2,Kolkata,22-May-14
YV Takawale,Royal Challengers Bangalore,Kolkata Knight Riders,45,0,55,36,5,1,125,2,Kolkata,22-May-14
V Kohli,Royal Challengers Bangalore,Kolkata Knight Riders,38,0,41,31,3,1,122.58,2,Kolkata,22-May-14
Yuvraj Singh,Royal Challengers Bangalore,Kolkata Knight Riders,22,0,21,12,1,2,183.33,2,Kolkata,22-May-14
AB de Villiers,Royal Challengers Bangalore,Kolkata Knight Riders,13,0,20,13,1,0,100,2,Kolkata,22-May-14
S Rana,Royal Challengers Bangalore,Kolkata Knight Riders,19,1,17,12,2,0,158.33,2,Kolkata,22-May-14
MA Starc,Royal Challengers Bangalore,Kolkata Knight Riders,12,1,14,8,1,0,150,2,Kolkata,22-May-14
YS Chahal,Royal Challengers Bangalore,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,22-May-14
AN Ahmed,Royal Challengers Bangalore,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,22-May-14
M Muralidaran,Royal Challengers Bangalore,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,22-May-14
AB Dinda,Royal Challengers Bangalore,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,22-May-14
V Sehwag,Kings XI Punjab,Mumbai Indians,17,0,10,11,1,2,154.54,1,Mohali,21-May-14
M Vohra,Kings XI Punjab,Mumbai Indians,36,0,47,34,4,1,105.88,1,Mohali,21-May-14
SE Marsh,Kings XI Punjab,Mumbai Indians,30,0,31,17,2,2,176.47,1,Mohali,21-May-14
GJ Maxwell,Kings XI Punjab,Mumbai Indians,2,0,7,3,0,0,66.66,1,Mohali,21-May-14
GJ Bailey,Kings XI Punjab,Mumbai Indians,39,0,41,30,2,2,130,1,Mohali,21-May-14
WP Saha,Kings XI Punjab,Mumbai Indians,3,0,11,8,0,0,37.5,1,Mohali,21-May-14
AR Patel,Kings XI Punjab,Mumbai Indians,6,0,9,6,1,0,100,1,Mohali,21-May-14
R Dhawan,Kings XI Punjab,Mumbai Indians,14,1,20,9,2,0,155.55,1,Mohali,21-May-14
BE Hendricks,Kings XI Punjab,Mumbai Indians,0,0,1,1,0,0,0,1,Mohali,21-May-14
Shivam Sharma,Kings XI Punjab,Mumbai Indians,1,1,1,1,0,0,100,1,Mohali,21-May-14
Sandeep Sharma,Kings XI Punjab,Mumbai Indians,DNB,0,-,-,-,-,-,1,Mohali,21-May-14
LMP Simmons,Mumbai Indians,Kings XI Punjab,100,1,86,61,14,2,163.93,2,Mohali,21-May-14
MEK Hussey,Mumbai Indians,Kings XI Punjab,6,0,34,13,0,0,46.15,2,Mohali,21-May-14
AT Rayudu,Mumbai Indians,Kings XI Punjab,17,0,18,14,0,0,121.42,2,Mohali,21-May-14
RG Sharma,Mumbai Indians,Kings XI Punjab,18,0,25,20,2,0,90,2,Mohali,21-May-14
KA Pollard,Mumbai Indians,Kings XI Punjab,8,1,6,6,0,1,133.33,2,Mohali,21-May-14
PP Ojha,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,21-May-14
S Gopal,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,21-May-14
JJ Bumrah,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,21-May-14
K Santokie,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,21-May-14
P Kumar,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,21-May-14
AP Tare,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,21-May-14
DR Smith,Chennai Super Kings,Kolkata Knight Riders,5,0,5,6,1,0,83.33,1,Kolkata,20-May-14
BB McCullum,Chennai Super Kings,Kolkata Knight Riders,28,0,45,24,1,2,116.66,1,Kolkata,20-May-14
SK Raina,Chennai Super Kings,Kolkata Knight Riders,65,0,73,52,3,5,125,1,Kolkata,20-May-14
F du Plessis,Chennai Super Kings,Kolkata Knight Riders,23,0,28,20,2,0,115,1,Kolkata,20-May-14
MS Dhoni,Chennai Super Kings,Kolkata Knight Riders,21,1,18,15,1,1,140,1,Kolkata,20-May-14
RA Jadeja,Chennai Super Kings,Kolkata Knight Riders,9,1,13,4,0,1,225,1,Kolkata,20-May-14
M Manhas,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Kolkata,20-May-14
IC Pandey,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Kolkata,20-May-14
BW Hilfenhaus,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Kolkata,20-May-14
R Ashwin,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Kolkata,20-May-14
MM Sharma,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Kolkata,20-May-14
RV Uthappa,Kolkata Knight Riders,Chennai Super Kings,67,0,53,39,10,1,171.79,2,Kolkata,20-May-14
G Gambhir,Kolkata Knight Riders,Chennai Super Kings,21,0,30,20,3,0,105,2,Kolkata,20-May-14
MK Pandey,Kolkata Knight Riders,Chennai Super Kings,18,1,48,28,0,0,64.28,2,Kolkata,20-May-14
Shakib Al Hasan,Kolkata Knight Riders,Chennai Super Kings,46,1,25,21,6,2,219.04,2,Kolkata,20-May-14
RN ten Doeschate,Kolkata Knight Riders,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Kolkata,20-May-14
UT Yadav,Kolkata Knight Riders,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Kolkata,20-May-14
YK Pathan,Kolkata Knight Riders,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Kolkata,20-May-14
SP Narine,Kolkata Knight Riders,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Kolkata,20-May-14
SA Yadav,Kolkata Knight Riders,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Kolkata,20-May-14
PP Chawla,Kolkata Knight Riders,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Kolkata,20-May-14
PJ Cummins,Kolkata Knight Riders,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Kolkata,20-May-14
CH Gayle,Royal Challengers Bangalore,Sunrisers Hyderabad,14,0,24,20,1,0,70,1,Hyderabad (Deccan),20-May-14
PA Patel,Royal Challengers Bangalore,Sunrisers Hyderabad,4,0,3,4,1,0,100,1,Hyderabad (Deccan),20-May-14
V Kohli,Royal Challengers Bangalore,Sunrisers Hyderabad,67,0,72,41,4,4,163.41,1,Hyderabad (Deccan),20-May-14
Yuvraj Singh,Royal Challengers Bangalore,Sunrisers Hyderabad,21,0,27,25,2,1,84,1,Hyderabad (Deccan),20-May-14
AB de Villiers,Royal Challengers Bangalore,Sunrisers Hyderabad,29,0,28,17,2,1,170.58,1,Hyderabad (Deccan),20-May-14
S Rana,Royal Challengers Bangalore,Sunrisers Hyderabad,12,1,12,7,2,0,171.42,1,Hyderabad (Deccan),20-May-14
MA Starc,Royal Challengers Bangalore,Sunrisers Hyderabad,6,0,7,6,1,0,100,1,Hyderabad (Deccan),20-May-14
AN Ahmed,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Hyderabad (Deccan),20-May-14
VR Aaron,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Hyderabad (Deccan),20-May-14
M Muralidaran,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Hyderabad (Deccan),20-May-14
YS Chahal,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Hyderabad (Deccan),20-May-14
S Dhawan,Sunrisers Hyderabad,Royal Challengers Bangalore,50,0,54,39,7,1,128.2,2,Hyderabad (Deccan),20-May-14
DA Warner,Sunrisers Hyderabad,Royal Challengers Bangalore,59,0,75,46,3,4,128.26,2,Hyderabad (Deccan),20-May-14
NV Ojha,Sunrisers Hyderabad,Royal Challengers Bangalore,24,0,33,20,0,2,120,2,Hyderabad (Deccan),20-May-14
AJ Finch,Sunrisers Hyderabad,Royal Challengers Bangalore,11,1,17,9,1,0,122.22,2,Hyderabad (Deccan),20-May-14
DJG Sammy,Sunrisers Hyderabad,Royal Challengers Bangalore,10,1,4,4,0,1,250,2,Hyderabad (Deccan),20-May-14
KV Sharma,Sunrisers Hyderabad,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Hyderabad (Deccan),20-May-14
Parvez Rasool,Sunrisers Hyderabad,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Hyderabad (Deccan),20-May-14
DW Steyn,Sunrisers Hyderabad,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Hyderabad (Deccan),20-May-14
Y Venugopal Rao,Sunrisers Hyderabad,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Hyderabad (Deccan),20-May-14
IK Pathan,Sunrisers Hyderabad,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Hyderabad (Deccan),20-May-14
B Kumar,Sunrisers Hyderabad,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Hyderabad (Deccan),20-May-14
M Vijay,Delhi Daredevils,Kings XI Punjab,5,0,12,8,1,0,62.5,1,Delhi,19-May-14
KP Pietersen,Delhi Daredevils,Kings XI Punjab,49,0,48,32,6,1,153.12,1,Delhi,19-May-14
KD Karthik,Delhi Daredevils,Kings XI Punjab,69,0,74,44,7,3,156.81,1,Delhi,19-May-14
JP Duminy,Delhi Daredevils,Kings XI Punjab,17,0,28,21,1,0,80.95,1,Delhi,19-May-14
KM Jadhav,Delhi Daredevils,Kings XI Punjab,0,0,2,1,0,0,0,1,Delhi,19-May-14
MA Agarwal,Delhi Daredevils,Kings XI Punjab,6,0,2,2,0,1,300,1,Delhi,19-May-14
MK Tiwary,Delhi Daredevils,Kings XI Punjab,10,1,11,8,1,0,125,1,Delhi,19-May-14
WD Parnell,Delhi Daredevils,Kings XI Punjab,2,0,1,2,0,0,100,1,Delhi,19-May-14
Mohammed Shami,Delhi Daredevils,Kings XI Punjab,1,1,2,2,0,0,50,1,Delhi,19-May-14
JD Unadkat,Delhi Daredevils,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Delhi,19-May-14
Imran Tahir,Delhi Daredevils,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Delhi,19-May-14
V Sehwag,Kings XI Punjab,Delhi Daredevils,23,0,43,22,2,1,104.54,2,Delhi,19-May-14
M Vohra,Kings XI Punjab,Delhi Daredevils,42,0,35,19,4,3,221.05,2,Delhi,19-May-14
GJ Maxwell,Kings XI Punjab,Delhi Daredevils,14,0,13,11,0,1,127.27,2,Delhi,19-May-14
DA Miller,Kings XI Punjab,Delhi Daredevils,2,0,8,6,0,0,33.33,2,Delhi,19-May-14
WP Saha,Kings XI Punjab,Delhi Daredevils,13,0,29,13,1,0,100,2,Delhi,19-May-14
AR Patel,Kings XI Punjab,Delhi Daredevils,42,1,52,35,5,1,120,2,Delhi,19-May-14
GJ Bailey,Kings XI Punjab,Delhi Daredevils,6,0,17,7,0,0,85.71,2,Delhi,19-May-14
R Dhawan,Kings XI Punjab,Delhi Daredevils,8,1,7,5,1,0,160,2,Delhi,19-May-14
Shivam Sharma,Kings XI Punjab,Delhi Daredevils,DNB,0,-,-,-,-,-,2,Delhi,19-May-14
Sandeep Sharma,Kings XI Punjab,Delhi Daredevils,DNB,0,-,-,-,-,-,2,Delhi,19-May-14
BE Hendricks,Kings XI Punjab,Delhi Daredevils,DNB,0,-,-,-,-,-,2,Delhi,19-May-14
MEK Hussey,Mumbai Indians,Rajasthan Royals,56,0,72,39,3,2,143.58,1,Ahmedabad,19-May-14
LMP Simmons,Mumbai Indians,Rajasthan Royals,62,0,69,51,6,2,121.56,1,Ahmedabad,19-May-14
KA Pollard,Mumbai Indians,Rajasthan Royals,14,1,26,12,0,1,116.66,1,Ahmedabad,19-May-14
RG Sharma,Mumbai Indians,Rajasthan Royals,40,0,23,19,3,4,210.52,1,Ahmedabad,19-May-14
K Santokie,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Ahmedabad,19-May-14
JJ Bumrah,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Ahmedabad,19-May-14
Harbhajan Singh,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Ahmedabad,19-May-14
S Gopal,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Ahmedabad,19-May-14
AT Rayudu,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Ahmedabad,19-May-14
PP Ojha,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Ahmedabad,19-May-14
AP Tare,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Ahmedabad,19-May-14
KK Nair,Rajasthan Royals,Mumbai Indians,48,0,55,24,4,3,200,2,Ahmedabad,19-May-14
UBT Chand,Rajasthan Royals,Mumbai Indians,2,0,12,9,0,0,22.22,2,Ahmedabad,19-May-14
SR Watson,Rajasthan Royals,Mumbai Indians,5,0,7,6,1,0,83.33,2,Ahmedabad,19-May-14
SV Samson,Rajasthan Royals,Mumbai Indians,2,0,5,5,0,0,40,2,Ahmedabad,19-May-14
KK Cooper,Rajasthan Royals,Mumbai Indians,5,0,12,8,0,0,62.5,2,Ahmedabad,19-May-14
Ankit Sharma,Rajasthan Royals,Mumbai Indians,4,0,3,3,0,0,133.33,2,Ahmedabad,19-May-14
STR Binny,Rajasthan Royals,Mumbai Indians,2,0,6,10,0,0,20,2,Ahmedabad,19-May-14
BJ Hodge,Rajasthan Royals,Mumbai Indians,40,0,29,30,0,3,133.33,2,Ahmedabad,19-May-14
JP Faulkner,Rajasthan Royals,Mumbai Indians,31,1,36,21,1,2,147.61,2,Ahmedabad,19-May-14
R Bhatia,Rajasthan Royals,Mumbai Indians,6,1,5,4,1,0,150,2,Ahmedabad,19-May-14
DS Kulkarni,Rajasthan Royals,Mumbai Indians,DNB,0,-,-,-,-,-,2,Ahmedabad,19-May-14
AJ Finch,Sunrisers Hyderabad,Kolkata Knight Riders,8,0,6,8,1,0,100,1,Hyderabad (Deccan),18-May-14
S Dhawan,Sunrisers Hyderabad,Kolkata Knight Riders,19,0,26,14,4,0,135.71,1,Hyderabad (Deccan),18-May-14
NV Ojha,Sunrisers Hyderabad,Kolkata Knight Riders,22,0,30,24,1,2,91.66,1,Hyderabad (Deccan),18-May-14
DA Warner,Sunrisers Hyderabad,Kolkata Knight Riders,34,0,33,18,3,2,188.88,1,Hyderabad (Deccan),18-May-14
KL Rahul,Sunrisers Hyderabad,Kolkata Knight Riders,14,0,18,15,2,0,93.33,1,Hyderabad (Deccan),18-May-14
IK Pathan,Sunrisers Hyderabad,Kolkata Knight Riders,23,1,34,19,2,0,121.05,1,Hyderabad (Deccan),18-May-14
